task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
174	75/746590	51769	minimap_pipeline:minimap (oy14_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:26:44.750	23.8s	23.1s	218.1%	4 GB	9.4 GB	1.6 GB	92.6 MB
173	d5/9d92f0	50076	minimap_pipeline:minimap (03_dolphin_serum_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:26:38.368	30.9s	30.2s	205.5%	4 GB	6.8 GB	1.8 GB	330.3 MB
176	08/70656d	56209	minimap_pipeline:minimap (oy21_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:27:09.260	1m 26s	1m 25s	202.2%	4.9 GB	10.1 GB	4.4 GB	2.7 GB
172	64/732a78	47876	minimap_pipeline:minimap (sd4_SQK-NBD114-24_barcode19)	COMPLETED	0	2024-12-22 19:26:28.071	2m 34s	2m 33s	196.6%	6.2 GB	10.6 GB	6.9 GB	5 GB
175	a4/63ab25	55930	minimap_pipeline:minimap (oy12_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:27:08.518	2m 14s	2m 14s	224.0%	4.8 GB	9.4 GB	5.6 GB	3.9 GB
178	45/43e2ad	72085	minimap_pipeline:minimap (oy16_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:29:02.012	22.6s	22.2s	213.6%	2.8 GB	5.9 GB	1.5 GB	32.1 MB
171	31/040082	38767	minimap_pipeline:minimap (02_sealion_feces_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:25:15.792	4m 27s	4m 27s	211.3%	8.3 GB	11.7 GB	14.5 GB	12.2 GB
180	4a/d8ee06	76078	minimap_pipeline:minimap (m16_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:29:24.658	25.2s	23.3s	212.2%	2.8 GB	5.9 GB	1.6 GB	106.4 MB
182	d2/ab14b0	81459	minimap_pipeline:minimap (m10_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:29:50.115	30.6s	30.3s	210.7%	4 GB	6.8 GB	1.8 GB	354.5 MB
179	f8/8e4f62	75503	minimap_pipeline:minimap (oy38_SQK-NBD114-24_barcode24)	COMPLETED	0	2024-12-22 19:29:22.713	1m 9s	1m 9s	209.2%	4.5 GB	9.8 GB	3.4 GB	1.8 GB
184	54/12b001	88219	minimap_pipeline:minimap (m30_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:30:31.716	1m 16s	1m 15s	198.5%	4.2 GB	9.4 GB	3.4 GB	1.9 GB
159	7f/fa65c6	110458	minimap_pipeline:minimap (01_dolphin_feces_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:19:49.704	12m 22s	12m 22s	225.5%	7.5 GB	10.8 GB	36 GB	32.1 GB
177	a5/13e2f7	67661	minimap_pipeline:minimap (m28_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:28:35.040	3m 57s	3m 57s	218.5%	6.9 GB	10.6 GB	10.5 GB	8.5 GB
186	8a/0da7f7	99674	minimap_pipeline:minimap (S02_SQK-NBD114-24_barcode01)	COMPLETED	0	2024-12-22 19:32:12.001	54.6s	54s	193.0%	4 GB	6.9 GB	2.7 GB	1.2 GB
185	aa/4e42a5	96403	minimap_pipeline:minimap (oy56_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:31:47.718	1m 23s	1m 22s	190.6%	4.7 GB	9.9 GB	3.7 GB	2.1 GB
188	75/8c4b25	108139	minimap_pipeline:getAlignmentStats (04_sealion_serum_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:33:06.585	4.7s	4s	174.9%	727.3 MB	1.9 GB	604.8 MB	876 KB
183	d4/b7143d	85936	minimap_pipeline:minimap (m34_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:30:20.698	2m 51s	2m 50s	203.1%	6.1 GB	10.4 GB	7.1 GB	5.3 GB
191	ec/84ed89	109316	minimap_pipeline:getAlignmentStats (m04_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:33:11.415	3.9s	3.4s	207.1%	835.6 MB	2 GB	506.1 MB	1.1 MB
189	15/012a0a	109025	minimap_pipeline:getAlignmentStats (m19_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:33:10.698	4.8s	4.3s	169.0%	679.5 MB	1.9 GB	597 MB	1 MB
190	6f/13b227	109243	minimap_pipeline:getAlignmentStats (S31_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:33:11.297	5.6s	5.3s	149.4%	668.8 MB	1.9 GB	728.8 MB	22.7 MB
193	f5/c7d317	111166	minimap_pipeline:getAlignmentStats (oy31_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:33:15.518	5s	4.7s	161.9%	759.9 MB	1.9 GB	698.8 MB	1 MB
192	87/78ba5b	111012	minimap_pipeline:getAlignmentStats (m36_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 19:33:15.284	6.3s	6s	150.1%	747.9 MB	2 GB	867.5 MB	743 KB
194	44/895fc3	111904	minimap_pipeline:getAlignmentStats (m08_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:33:16.897	5.1s	4.7s	157.7%	813 MB	2 GB	604 MB	1.2 MB
181	5a/b79d2e	79901	minimap_pipeline:minimap (m35_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:29:43.029	3m 42s	3m 41s	228.5%	6.5 GB	10.4 GB	9 GB	7.1 GB
195	3d/5229f9	113214	minimap_pipeline:getAlignmentStats (S19_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:33:20.524	9.6s	9.3s	131.1%	699.8 MB	1.9 GB	1.3 GB	22.3 MB
197	71/fe577e	114146	minimap_pipeline:getAlignmentStats (oy24_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:33:22.023	8.4s	8.2s	131.2%	730.8 MB	1.9 GB	1.2 GB	893.8 KB
196	41/54bc11	113749	minimap_pipeline:getAlignmentStats (oy51_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:33:21.639	9.6s	9.4s	129.7%	683.7 MB	1.9 GB	1.3 GB	767.5 KB
198	d5/7b1f95	114958	minimap_pipeline:getAlignmentStats (oy26_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:33:24.715	7s	6.6s	148.0%	804.4 MB	2 GB	960.8 MB	898.6 KB
201	9a/369f49	118149	minimap_pipeline:getAlignmentStats (oy44_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:33:31.270	5.6s	5.4s	150.2%	601.4 MB	1.8 GB	828.2 MB	657.8 KB
200	5e/291196	117960	minimap_pipeline:getAlignmentStats (oy25_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 19:33:30.439	7.5s	7.3s	135.3%	647.9 MB	2 GB	1.1 GB	1005 KB
202	46/10811d	118634	minimap_pipeline:getAlignmentStats (oy32_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:33:31.736	6.8s	6.5s	151.5%	831.5 MB	2 GB	926.2 MB	978.6 KB
199	3a/4bd7de	117505	minimap_pipeline:getAlignmentStats (oy59_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:33:30.098	8.7s	8.4s	131.6%	567.5 MB	1.9 GB	1.1 GB	913.3 KB
206	af/4b2e5d	122165	minimap_pipeline:getAlignmentStats (S17_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:33:38.762	3.4s	3.2s	186.5%	609.2 MB	1.8 GB	507.9 MB	5.3 MB
204	df/a8bc18	121595	minimap_pipeline:getAlignmentStats (oy33_SQK-NBD114-24_barcode19)	COMPLETED	0	2024-12-22 19:33:38.004	9.9s	9.7s	133.8%	817.7 MB	2 GB	1.3 GB	1 MB
203	55/6f5316	121009	minimap_pipeline:getAlignmentStats (sd2_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:33:36.904	11.5s	11.2s	128.5%	717.7 MB	1.9 GB	1.6 GB	21.7 MB
208	61/57a92c	3892	minimap_pipeline:getAlignmentStats (m05_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:33:47.907	3.4s	3.2s	199.7%	631.2 MB	1.9 GB	506.6 MB	916.1 KB
205	4d/6cf6bd	121998	minimap_pipeline:getAlignmentStats (oy42_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:33:38.501	15.8s	15.5s	124.1%	171.2 MB	197.9 MB	1.9 GB	771.3 KB
207	a4/76a127	1077	minimap_pipeline:getAlignmentStats (oy35_SQK-NBD114-24_barcode21)	COMPLETED	0	2024-12-22 19:33:42.224	12.3s	11.9s	127.5%	516.3 MB	1.8 GB	1.6 GB	2.7 MB
210	52/f35d7d	5476	minimap_pipeline:getAlignmentStats (m12_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:33:51.387	4.2s	3.9s	182.5%	713.2 MB	1.9 GB	603.5 MB	1.1 MB
211	1e/b743ab	6593	minimap_pipeline:getAlignmentStats (oy47_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:33:54.270	7.6s	7.3s	143.9%	737.4 MB	1.9 GB	1006.6 MB	689.4 KB
209	bd/c7f320	4200	minimap_pipeline:getAlignmentStats (oy36_SQK-NBD114-24_barcode22)	COMPLETED	0	2024-12-22 19:33:48.372	13.9s	13.7s	124.8%	240 MB	269.8 MB	1.7 GB	1.2 MB
213	2f/ea1b06	7294	minimap_pipeline:getAlignmentStats (oy23_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:33:55.577	7.2s	6.9s	149.6%	744 MB	1.9 GB	1016 MB	824.4 KB
215	75/f8da9c	10140	minimap_pipeline:getAlignmentStats (m13_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:34:02.282	3.5s	3.3s	202.5%	535.1 MB	1.7 GB	515.2 MB	947.2 KB
212	e3/c47bbc	6697	minimap_pipeline:getAlignmentStats (S20_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:33:54.486	13s	12.7s	126.8%	248.8 MB	1.5 GB	1.7 GB	39 MB
214	6d/cbac02	9708	minimap_pipeline:getAlignmentStats (oy46_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:34:01.864	5.9s	5.7s	152.4%	780.4 MB	1.9 GB	807.4 MB	641.4 KB
218	71/90e592	12487	minimap_pipeline:getAlignmentStats (m09_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:34:07.514	3.5s	3.2s	194.6%	736.7 MB	2 GB	490.8 MB	1.1 MB
217	7d/19f58b	11869	minimap_pipeline:getAlignmentStats (oy15_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:34:05.828	8.4s	7.9s	137.9%	806.4 MB	2 GB	1.1 GB	1.1 MB
219	1c/97e6a4	12682	minimap_pipeline:getAlignmentStats (oy52_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:34:07.801	10.4s	10.2s	132.1%	764.2 MB	1.9 GB	1.4 GB	811.6 KB
216	6a/faf199	10335	minimap_pipeline:getAlignmentStats (oy45_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:34:02.790	15.6s	15.4s	120.9%	345.1 MB	371.5 MB	1.8 GB	752.7 KB
221	88/022542	15504	minimap_pipeline:getAlignmentStats (oy43_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:34:14.232	5.6s	5.4s	155.7%	576.3 MB	1.8 GB	822.1 MB	669.2 KB
220	12/e31f6b	14119	minimap_pipeline:getAlignmentStats (oy22_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:34:11.072	9.1s	8.8s	135.6%	780.3 MB	2 GB	1.3 GB	898.9 KB
222	4d/a0ad51	17050	minimap_pipeline:getAlignmentStats (oy27_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:34:18.189	8.7s	8.4s	141.3%	699.5 MB	1.9 GB	1.2 GB	748.9 KB
225	24/17139e	18208	minimap_pipeline:getAlignmentStats (oy09_SQK-NBD114-24_barcode01)	COMPLETED	0	2024-12-22 19:34:20.161	7.7s	7.5s	143.6%	595.7 MB	1.8 GB	1 GB	1.2 MB
226	83/ec6fbd	20951	minimap_pipeline:getAlignmentStats (m11_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:34:26.905	3.9s	3.6s	187.0%	801.2 MB	2 GB	543.6 MB	1.1 MB
224	a8/6cbcae	18094	minimap_pipeline:getAlignmentStats (m27_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:34:19.901	11.1s	10.8s	125.4%	798.6 MB	2 GB	1.4 GB	1 MB
223	c7/ffe3ba	17153	minimap_pipeline:getAlignmentStats (m31_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:34:18.442	16.2s	15.9s	121.9%	808.5 MB	2 GB	2.2 GB	989.7 KB
229	d5/5b0bef	23085	minimap_pipeline:getAlignmentStats (oy61_SQK-NBD114-24_barcode19)	COMPLETED	0	2024-12-22 19:34:31.044	7s	6.7s	147.4%	802.8 MB	2 GB	886.1 MB	734.2 KB
230	29/603308	24510	minimap_pipeline:getAlignmentStats (oy11_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:34:34.617	8s	7.7s	142.1%	809.8 MB	2 GB	1.1 GB	1.2 MB
227	82/b2b42b	21509	minimap_pipeline:getAlignmentStats (m26_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:34:27.862	16.3s	16s	117.7%	765.7 MB	1.9 GB	2.1 GB	935.8 KB
231	82/9fa33b	25931	minimap_pipeline:getAlignmentStats (S09_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:34:38.002	8s	7.7s	140.0%	799.2 MB	2 GB	1.1 GB	18.5 MB
232	54/81629a	27671	minimap_pipeline:getAlignmentStats (S20_d_EXP-NBD104_barcode04)	COMPLETED	0	2024-12-22 19:34:42.578	3.4s	3.2s	189.2%	685.8 MB	1.9 GB	490 MB	3.2 MB
228	14/77b13e	22970	minimap_pipeline:getAlignmentStats (m32_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:34:30.793	20s	19.7s	118.4%	268.5 MB	297.5 MB	2.3 GB	1.2 MB
236	e3/bd52f8	30917	minimap_pipeline:getAlignmentStats (sd3_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:34:50.763	3.7s	3.5s	171.1%	797.5 MB	2 GB	580.2 MB	7.6 MB
233	48/6d0990	28301	minimap_pipeline:getAlignmentStats (S07_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:34:44.133	10.5s	10.1s	133.0%	742.5 MB	1.9 GB	1.4 GB	25.5 MB
234	67/8da17a	29153	minimap_pipeline:getAlignmentStats (oy13_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:34:45.962	12s	11.7s	126.0%	594.4 MB	1.8 GB	1.6 GB	1.4 MB
238	f2/c983b4	32849	minimap_pipeline:getAlignmentStats (S26_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:34:54.613	4.6s	4.2s	182.2%	702 MB	1.9 GB	571.1 MB	11.2 MB
237	f5/017edc	32581	minimap_pipeline:getAlignmentStats (m07_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:34:54.513	4.7s	4.3s	163.9%	605.2 MB	1.8 GB	668.8 MB	989.3 KB
239	7d/ed2f2b	34310	minimap_pipeline:getAlignmentStats (m17_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:34:57.966	4.4s	4.2s	162.7%	543.9 MB	1.8 GB	695.7 MB	2.5 MB
235	8f/d22109	29180	minimap_pipeline:getAlignmentStats (oy63_SQK-NBD114-24_barcode21)	COMPLETED	0	2024-12-22 19:34:46.011	16.8s	16.5s	115.4%	640.3 MB	1.9 GB	1.9 GB	851.9 KB
241	de/61c749	34830	minimap_pipeline:getAlignmentStats (m06_SQK-NBD114-24_barcode05)	COMPLETED	0	2024-12-22 19:34:59.210	4.1s	3.9s	183.1%	745.9 MB	1.9 GB	582.5 MB	867.1 KB
243	63/6ff396	36748	minimap_pipeline:getAlignmentStats (m15_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 19:35:02.770	3.4s	3.1s	197.5%	597.8 MB	1.9 GB	532.1 MB	986 KB
244	96/3c843a	36939	minimap_pipeline:getAlignmentStats (S32_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:35:03.374	5s	4.8s	169.8%	772.2 MB	1.9 GB	660.7 MB	22 MB
245	84/66f911	38264	minimap_pipeline:getAlignmentStats (oy49_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:35:06.152	3.1s	2.9s	205.7%	732 MB	1.9 GB	484.2 MB	623.2 KB
246	2c/762c3a	39250	minimap_pipeline:getAlignmentStats (m14_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:35:08.411	3.6s	3.4s	184.4%	826.1 MB	2 GB	571 MB	1.1 MB
240	63/793869	34816	minimap_pipeline:getAlignmentStats (m29_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:34:59.199	15.6s	15.4s	118.8%	227 MB	257.3 MB	2 GB	819 KB
242	c5/8c2945	36342	minimap_pipeline:getAlignmentStats (m33_SQK-NBD114-24_barcode11)	COMPLETED	0	2024-12-22 19:35:02.399	16s	15.8s	116.7%	801.9 MB	2 GB	1.9 GB	1 MB
248	9b/6c21f2	41100	minimap_pipeline:getAlignmentStats (oy60_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 19:35:12.060	6.5s	6.2s	149.6%	687.6 MB	1.9 GB	885.1 MB	781 KB
251	5c/1fffd9	43328	minimap_pipeline:getAlignmentStats (m03_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:35:18.547	3.1s	2.9s	201.8%	744.1 MB	2 GB	496.6 MB	776.6 KB
250	13/16009c	43245	minimap_pipeline:getAlignmentStats (S14_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:35:18.406	5.5s	5.2s	169.8%	733.9 MB	1.9 GB	728.6 MB	14.9 MB
247	b8/66eb73	39798	minimap_pipeline:getAlignmentStats (oy50_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:35:09.306	14.6s	14.4s	121.1%	83.3 MB	110 MB	1.9 GB	746.4 KB
249	e0/754f1d	41881	minimap_pipeline:getAlignmentStats (oy55_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 19:35:14.850	11s	10.7s	124.2%	803.4 MB	2 GB	1.6 GB	2.2 MB
252	23/59b54c	44753	minimap_pipeline:getAlignmentStats (oy53_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:35:21.661	9.5s	9.3s	127.1%	609.9 MB	1.9 GB	1.3 GB	1 MB
253	c3/7cffe5	45534	minimap_pipeline:getAlignmentStats (oy37_SQK-NBD114-24_barcode23)	COMPLETED	0	2024-12-22 19:35:23.897	11.8s	11.6s	125.6%	698.1 MB	1.9 GB	1.5 GB	1.1 MB
255	09/4d9bf6	46602	minimap_pipeline:getAlignmentStats (sd1_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:35:25.924	10.3s	9.9s	130.8%	808.9 MB	2 GB	1.4 GB	19.5 MB
256	28/1497fa	48716	minimap_pipeline:getAlignmentStats (oy20_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:35:31.192	6.2s	5.9s	148.7%	744.8 MB	1.9 GB	926.5 MB	890.4 KB
258	a7/845d3d	51198	minimap_pipeline:getAlignmentStats (oy58_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:35:36.216	6.9s	6.7s	142.2%	797.4 MB	2 GB	899.5 MB	796.2 KB
254	ea/49229c	45562	minimap_pipeline:getAlignmentStats (m24_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:35:23.935	20.7s	20.3s	115.6%	440 MB	475.2 MB	2.4 GB	954.6 KB
257	5b/17557e	50877	minimap_pipeline:getAlignmentStats (oy34_SQK-NBD114-24_barcode20)	COMPLETED	0	2024-12-22 19:35:35.754	12.1s	11.8s	126.7%	489.8 MB	1.8 GB	1.6 GB	2 MB
259	8d/ac37c7	51602	minimap_pipeline:getAlignmentStats (oy10_SQK-NBD114-24_barcode02)	COMPLETED	0	2024-12-22 19:35:37.370	10.6s	10.4s	130.2%	706.8 MB	1.9 GB	1.4 GB	1.3 MB
262	05/453dfb	55636	minimap_pipeline:getAlignmentStats (oy14_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:35:47.844	3.3s	3.1s	189.6%	713.4 MB	1.9 GB	491.8 MB	686.8 KB
263	8c/578931	55719	minimap_pipeline:getAlignmentStats (03_dolphin_serum_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:35:47.970	3.7s	3.4s	188.9%	835.7 MB	2 GB	546.9 MB	1005.5 KB
260	73/f64578	53647	minimap_pipeline:getAlignmentStats (oy54_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:35:43.133	9.7s	9.5s	138.6%	689.3 MB	1.9 GB	1.3 GB	2 MB
264	a1/c416a1	57433	minimap_pipeline:getAlignmentStats (oy21_SQK-NBD114-24_barcode10)	COMPLETED	0	2024-12-22 19:35:51.167	7.8s	7.5s	142.2%	681.6 MB	1.9 GB	1.1 GB	934.1 KB
261	d1/fbab97	54237	minimap_pipeline:getAlignmentStats (m25_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:35:44.654	16.1s	15.9s	121.7%	811.5 MB	2 GB	2 GB	894 KB
267	7d/9498e2	60552	minimap_pipeline:getAlignmentStats (oy16_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:35:58.998	3s	2.7s	210.7%	716 MB	1.9 GB	478.4 MB	684.2 KB
266	39/426c59	58318	minimap_pipeline:getAlignmentStats (oy12_SQK-NBD114-24_barcode04)	COMPLETED	0	2024-12-22 19:35:52.859	9.4s	9.2s	132.0%	732.2 MB	1.9 GB	1.3 GB	1.3 MB
265	e5/9aa9d2	57784	minimap_pipeline:getAlignmentStats (sd4_SQK-NBD114-24_barcode19)	COMPLETED	0	2024-12-22 19:35:51.673	11.1s	10.8s	130.2%	799.8 MB	2 GB	1.7 GB	23.8 MB
269	e1/c929d8	62233	minimap_pipeline:getAlignmentStats (m16_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:36:01.970	3.3s	3s	202.3%	703.4 MB	1.9 GB	493 MB	697.2 KB
270	83/478776	62506	minimap_pipeline:getAlignmentStats (m10_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 19:36:02.293	3.9s	3.6s	192.0%	800.9 MB	2 GB	549.2 MB	986.2 KB
271	4e/12f507	62849	minimap_pipeline:getAlignmentStats (oy38_SQK-NBD114-24_barcode24)	COMPLETED	0	2024-12-22 19:36:02.792	5.8s	5.6s	153.2%	801.1 MB	2 GB	847.4 MB	1.2 MB
272	f0/d42c87	64021	minimap_pipeline:getAlignmentStats (m30_SQK-NBD114-24_barcode08)	COMPLETED	0	2024-12-22 19:36:05.295	6.4s	6.1s	146.1%	727.2 MB	1.9 GB	860.1 MB	947.3 KB
275	8a/555482	67051	minimap_pipeline:getAlignmentStats (S02_SQK-NBD114-24_barcode01)	COMPLETED	0	2024-12-22 19:36:11.730	4.9s	4.7s	163.7%	793.8 MB	2 GB	731.6 MB	8.3 MB
268	e2/5ee565	61646	minimap_pipeline:getAlignmentStats (02_sealion_feces_SQK-NBD114-24_barcode16)	COMPLETED	0	2024-12-22 19:36:00.795	20.9s	20.7s	115.0%	833.6 MB	2 GB	3 GB	3.5 MB
276	87/4789f9	68783	minimap_pipeline:getAlignmentStats (oy56_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:36:16.696	6.3s	6.1s	149.5%	712.3 MB	1.9 GB	920.5 MB	699.1 KB
274	1c/79b4bb	65660	minimap_pipeline:getAlignmentStats (m28_SQK-NBD114-24_barcode06)	COMPLETED	0	2024-12-22 19:36:08.601	17.4s	17.2s	119.6%	382.9 MB	1.5 GB	2.2 GB	995.4 KB
277	78/ec28ab	70080	minimap_pipeline:getAlignmentStats (m34_SQK-NBD114-24_barcode12)	COMPLETED	0	2024-12-22 19:36:21.709	12.3s	12s	130.3%	496.6 MB	1.7 GB	1.5 GB	1.2 MB
278	83/a71c7f	70562	minimap_pipeline:getAlignmentStats (m35_SQK-NBD114-24_barcode13)	COMPLETED	0	2024-12-22 19:36:23.023	15.5s	15.3s	119.1%	481.9 MB	515.4 MB	1.9 GB	838.3 KB
187	95/aa8958	103028	minimap_pipeline:minimap (oy64_SQK-NBD114-24_barcode22)	COMPLETED	0	2024-12-22 19:32:32.333	4m 20s	4m 19s	219.4%	7 GB	10.6 GB	11.1 GB	9.1 GB
280	40/a75439	74093	minimap_pipeline:createAbundanceTables	COMPLETED	0	2024-12-22 19:36:52.022	4.7s	3.3s	122.6%	68.6 MB	2.5 GB	11.9 MB	175.4 KB
273	e8/280d00	64638	minimap_pipeline:getAlignmentStats (01_dolphin_feces_SQK-NBD114-24_barcode15)	COMPLETED	0	2024-12-22 19:36:06.182	52.4s	52.1s	107.0%	540.5 MB	1.8 GB	7.3 GB	1.7 MB
281	1c/8bc212	74342	minimap_pipeline:filter_references	COMPLETED	0	2024-12-22 19:36:52.176	7.3s	6.6s	244.2%	84.8 MB	1.6 GB	755.8 MB	123.8 MB
282	59/ae1072	76671	minimap_pipeline:configure_igv (1)	COMPLETED	0	2024-12-22 19:36:59.524	1.8s	1s	31.5%	2.5 MB	11.1 MB	1.4 MB	47.8 KB
279	f1/1bb6ac	74036	minimap_pipeline:getAlignmentStats (oy64_SQK-NBD114-24_barcode22)	COMPLETED	0	2024-12-22 19:36:51.967	18.2s	17.8s	115.3%	425.9 MB	1.2 GB	2.3 GB	758.9 KB
283	a6/e198ba	77422	minimap_pipeline:makeReport (1)	COMPLETED	0	2024-12-22 19:37:10.353	1h 16m 15s	1h 16m 14s	100.0%	2.5 GB	5.2 GB	83.5 MB	48.2 MB
