task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
81	70/13d5d3	121323	fastcat (78)	COMPLETED	0	2024-12-22 18:58:38.123	7.7s	7.4s	178.0%	89.9 MB	512.2 MB	1.6 GB	721.7 MB
77	a7/a2ec57	120241	fastcat (74)	COMPLETED	0	2024-12-22 18:58:35.947	18.2s	17.8s	188.8%	90 MB	512.2 MB	3.2 GB	1.5 GB
80	1a/f103f1	1760	fastcat (77)	COMPLETED	0	2024-12-22 18:58:45.859	13.5s	13.2s	181.2%	89.9 MB	512.2 MB	2.5 GB	1.4 GB
73	3a/256d09	114102	fastcat (70)	COMPLETED	0	2024-12-22 18:58:16.223	43.2s	42.9s	233.5%	90.1 MB	512.2 MB	9.2 GB	4 GB
79	3e/0b78d5	118100	fastcat (76)	COMPLETED	0	2024-12-22 18:58:28.431	32.7s	32.4s	153.1%	90 MB	512.2 MB	5.2 GB	1.8 GB
85	13/5a50e6	6091	fastcat (82)	COMPLETED	0	2024-12-22 18:59:01.200	2.7s	2.5s	126.4%	88.8 MB	512.2 MB	392.3 MB	117.4 MB
87	ab/43e880	7484	fastcat (84)	COMPLETED	0	2024-12-22 18:59:03.927	750ms	481ms	151.5%	82.1 MB	189.1 MB	66.2 MB	33.5 MB
83	7c/aaf477	5135	fastcat (80)	COMPLETED	0	2024-12-22 18:58:59.344	14.9s	14.5s	217.3%	90 MB	512.2 MB	2.9 GB	1.4 GB
89	1a/f8f1a1	7816	fastcat (86)	COMPLETED	0	2024-12-22 18:59:04.710	12.7s	12.4s	217.2%	90 MB	512.2 MB	2.6 GB	1022 MB
76	c5/111cda	121208	fastcat (73)	COMPLETED	0	2024-12-22 18:58:37.942	42.6s	42.3s	137.8%	89.9 MB	512.2 MB	8.5 GB	2.9 GB
90	9e/f7e296	12526	fastcat (87)	COMPLETED	0	2024-12-22 18:59:20.559	729ms	474ms	70.1%	66.1 MB	189.1 MB	28.2 MB	10.6 MB
86	91/6a85fb	10586	fastcat (83)	COMPLETED	0	2024-12-22 18:59:14.290	7.1s	6.8s	184.1%	89.6 MB	512.2 MB	1.4 GB	649.5 MB
92	00/6f3c2f	13015	fastcat (89)	COMPLETED	0	2024-12-22 18:59:21.390	2s	1.7s	58.1%	88.6 MB	512.2 MB	261 MB	35.9 MB
82	1d/592dfa	3820	fastcat (79)	COMPLETED	0	2024-12-22 18:58:54.144	32.6s	32.4s	148.0%	89.9 MB	512.2 MB	7.2 GB	2.4 GB
93	d6/619bad	13833	fastcat (90)	COMPLETED	0	2024-12-22 18:59:23.442	3.7s	3.4s	94.0%	88.9 MB	512.2 MB	534.9 MB	126 MB
84	bd/6ed213	5304	fastcat (81)	COMPLETED	0	2024-12-22 18:58:59.570	28.4s	28s	131.6%	89.9 MB	512.2 MB	5.7 GB	1.8 GB
88	c7/68583c	11459	fastcat (85)	COMPLETED	0	2024-12-22 18:59:17.428	11.1s	10.9s	120.0%	89.9 MB	512.2 MB	2.1 GB	653.3 MB
94	1c/e6f00a	15122	fastcat (91)	COMPLETED	0	2024-12-22 18:59:26.810	6.1s	5.8s	242.1%	89.9 MB	512.2 MB	1.7 GB	744.1 MB
95	fe/0adb99	15556	fastcat (92)	COMPLETED	0	2024-12-22 18:59:27.142	8.5s	8.3s	111.4%	90 MB	512.2 MB	1.3 GB	414.7 MB
91	9a/cf91d6	12981	fastcat (88)	COMPLETED	0	2024-12-22 18:59:21.316	20.1s	19.9s	288.1%	89.9 MB	512.2 MB	6.5 GB	3.1 GB
96	b1/ac2eb1	15994	minimap_pipeline:minimap (04_sealion_serum_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 18:59:27.992	41.6s	40.1s	191.3%	4 GB	6.8 GB	2.1 GB	644.1 MB
98	2b/3d66a1	18627	minimap_pipeline:minimap (m19_SQK-NBD114-24_barcode18)	COMPLETED	0	2024-12-22 18:59:32.960	39.6s	38.9s	198.2%	4 GB	6.9 GB	2.1 GB	631.1 MB
97	b6/431bec	16402	minimap_pipeline:minimap (S31_SQK-NBD114-24_barcode09)	COMPLETED	0	2024-12-22 18:59:28.666	47.1s	46.3s	212.7%	4.3 GB	9.5 GB	2.5 GB	977.1 MB
103	2e/efe67c	30564	minimap_pipeline:minimap (m04_SQK-NBD114-24_barcode03)	COMPLETED	0	2024-12-22 19:00:15.815	26s	25.4s	216.9%	4 GB	6.9 GB	1.6 GB	158.2 MB
99	98/32fb49	19811	minimap_pipeline:minimap (m36_SQK-NBD114-24_barcode14)	COMPLETED	0	2024-12-22 18:59:35.665	1m 17s	1m 17s	201.1%	4.4 GB	9.3 GB	3.5 GB	1.9 GB
101	a2/e5236f	28527	minimap_pipeline:minimap (oy31_SQK-NBD114-24_barcode17)	COMPLETED	0	2024-12-22 19:00:09.593	50.9s	50.4s	195.9%	4.1 GB	7 GB	2.6 GB	1.1 GB
104	8c/3511f9	36192	minimap_pipeline:minimap (m08_SQK-NBD114-24_barcode07)	COMPLETED	0	2024-12-22 19:00:41.818	39.1s	38.9s	194.5%	4 GB	6.9 GB	2.1 GB	662.6 MB
